128-139GlRpn8,127-133ScRpn8
6.14019,2.16708856
6.36079,2.80071431
5.70355,2.35642544
5.38076,2.4959783
4.4285,2.87659408
5.57507,2.94446082
5.49847,2.73524688
6.00211,2.79731124
5.18094,2.59392319
5.04278,2.20769676
6.68289,2.198643
6.71416,2.3056674
6.69482,2.38159313
6.70841,2.15596863
5.64991,2.05585263
5.7461,2.32242803
5.89919,2.66492558
6.29441,2.58241156
8.44103,2.66934987
8.81531,2.40537459
7.31912,2.17029402
7.46572,2.40235422
7.87152,2.3689652
7.40411,2.72195956
7.73804,1.84478885
7.72413,2.49840328
8.14716,2.7443376
8.32262,1.9227091
8.00032,2.7953079
7.40645,2.94944017
7.29125,2.60324311
7.41558,2.3790638
7.61325,2.58822157
8.17553,2.88894181
8.43089,2.52846712
8.66652,2.30502925
7.93118,2.50095977
7.9251,2.62933206
8.32322,1.9729844
7.22487,2.92551287
7.61019,2.60718137
7.48871,2.52970897
8.32522,2.85372842
7.73004,2.12140478
8.62838,2.43798398
7.62823,3.26640431
7.68176,2.08948179
7.18112,2.10171046
6.69811,2.35705749
7.29737,2.31533119
7.23667,2.41476023
6.44885,2.30054457
7.03523,2.50429507
7.69171,2.37917753
6.99653,2.42662443
7.71687,2.12355289
7.82046,2.16235386
7.92401,2.20460464
7.63626,2.5270371
8.47068,2.82792943
7.8045,2.37043697
7.23003,2.55644821
8.27202,2.20588186
8.7133,2.76725876
8.66147,2.78535565
7.20323,2.57398312
7.82197,2.393205
7.91009,2.92754164
7.89662,2.22769556
7.81626,2.89440508
8.1112,2.92921532
8.17416,2.24726972
8.56813,2.26254333
7.59071,2.37364905
8.86117,2.28540102
8.176,2.43918628
8.12916,2.32431966
8.72333,2.32902478
8.00114,2.68718581
7.28661,2.28467991
6.89877,2.29563494
7.31217,2.32721334
7.7074,2.05108057
8.4157,2.25896399
7.68875,2.01605756
7.56468,2.44320506
8.61934,2.62034351
7.04896,2.73515842
8.51554,2.46371997
7.79945,2.62124088
7.82253,2.15085802
7.56918,2.19547664
7.81564,2.35308934
8.4396,2.55169978
7.73049,2.86321877
7.30122,2.26295931
8.41229,2.15899293
6.79304,2.96924965
7.09913,2.37718271
7.03255,2.30233043
5.75859,2.53834881
7.5123,2.32017562
7.78197,2.49638896
7.63359,2.43030786
7.08524,2.31889603
8.00557,2.17511074
7.2811,2.23709783
7.46647,1.87401623
7.18219,2.07754938
7.55601,1.93072077
8.14235,2.4661631
7.14712,2.40873376
8.54551,2.26853154
8.28712,2.27820603
7.16074,2.38633949
7.4989,2.47125466
9.6926,2.37410345
7.87494,2.4034157
6.56433,2.37711912
7.9991,2.61714524
8.9228,2.23023214
6.87384,2.3390534
6.63498,2.10123963
7.9561,2.154189
6.39159,2.66952469
6.89432,2.36305287
6.4246,2.73168808
6.72671,2.50417627
7.24114,2.69384452
7.2939,2.3853196
7.54896,2.49602066
7.82406,2.34189822
7.39761,2.23783092
7.44168,2.85904504
6.19565,2.5593431
